word,furigana,translation,category,level
圧倒,あっとう,overwhelm; overpower; overwhelming power,verb,n1
扱い,あつかい,treatment; service; handling,noun,n1
圧力,あつりょく,pressure; stress,noun,n1
過ち,あやまち,fault; error; indiscretion,noun,n1
敏感,びんかん,sensitive; susceptible,adjective,n1
微笑,びしょう,smile; slight smile,noun,n1
膨張,ぼうちょう,expansion; swelling; increase,noun,n1
防衛,ぼうえい,defense; protection,noun,n1
暴力,ぼうりょく,violence; mayhem,noun,n1
侮辱,ぶじょく,insult; affront; slight,noun,n1
部下,ぶか,subordinate (person),noun,n1
分配,ぶんぱい,division; splitting; sharing,noun,n1
分散,ぶんさん,dispersion; breakup; decentralization,noun,n1
文書,ぶんしょ,document; writing; paperwork,noun,n1
無礼,ぶれい,impolite; rude,adjective,n1
武装,ぶそう,arms; armament,noun,n1
着手,ちゃくしゅ,start (of work); undertaking,verb,n1
近づく,ちかづく,to approach; to draw near,verb,n1
蓄積,ちくせき,accumulation; build-up,noun,n1
沈黙,ちんもく,silence; being silent,noun,n1
抽選,ちゅうせん,lottery; raffle; drawing,noun,n1
忠実,ちゅうじつ,faithful; loyal; devoted,adjective,n1
中継,ちゅうけい,relay; broadcasting,noun,n1
調節,ちょうせつ,regulation; adjustment; control,noun,n1
直面,ちょくめん,confrontation,verb,n1
賃金,ちんぎん,wages; pay,noun,n1
通達,つうたつ,notification; directive,noun,n1
手際,てぎわ,skill; performance; execution,noun,n1
適応,てきおう,adaptation; accommodation; adjustment,noun,n1
投入,とうにゅう,investment; throwing in; commitment (of resources),noun,n1
突破,とっぱ,breaking through; penetration; breakthrough,noun,n1
同感,どうかん,agreement; same opinion; sympathy,noun,n1
同情,どうじょう,sympathy; compassion; pity,noun,n1
動揺,どうよう,disturbance; agitation; shaking,noun,n1
独創,どくそう,originality; creativity,noun,n1
独占,どくせん,monopoly; exclusive possession,noun,n1
難易,なんい,difficulty; relative difficulty,noun,n1
難解,なんかい,difficult to understand; abstruse,adjective,n1
南極,なんきょく,South Pole; Antarctic,noun,n1
軟弱,なんじゃく,weak; soft; weak-kneed,adjective,n1
南北,なんぼく,north and south,noun,n1
二酸化炭素,にさんかたんそ,carbon dioxide,noun,n1
入手,にゅうしゅ,obtaining; acquisition,noun,n1
認識,にんしき,recognition; awareness; cognition,noun,n1
年間,ねんかん,yearly; annual,noun,n1
燃焼,ねんしょう,combustion; burning,noun,n1
能力,のうりょく,ability; capacity; faculty,noun,n1
納入,のうにゅう,delivery; payment,noun,n1
発揮,はっき,demonstration; exhibition; display,noun,n1
発足,ほっそく,inauguration; starting; launch,noun,n1
発電,はつでん,generation of electricity,noun,n1
発掘,はっくつ,excavation; discovery,noun,n1
反応,はんのう,reaction; response,noun,n1
判断,はんだん,judgment; decision,noun,n1
犯罪,はんざい,crime; offense,noun,n1
反省,はんせい,reflection; reconsideration; introspection,noun,n1
繁栄,はんえい,prosperity; flourishing; thriving,noun,n1
半端,はんぱ,incomplete; fragmentary; odd lot,noun,n1
避難,ひなん,evacuation; taking refuge,noun,n1
批判,ひはん,criticism; judgment; critique,noun,n1
疲労,ひろう,fatigue; exhaustion,noun,n1
比例,ひれい,proportion; ratio,noun,n1
否定,ひてい,denial; negation,noun,n1
批評,ひひょう,criticism; review; commentary,noun,n1
貧乏,びんぼう,poverty; destitution,noun,n1
不可欠,ふかけつ,indispensable; essential,adjective,n1
不況,ふきょう,recession; depression; slump,noun,n1
負担,ふたん,burden; charge; responsibility,noun,n1
普及,ふきゅう,spread; diffusion; popularization,noun,n1
不景気,ふけいき,economic slump; recession,noun,n1
複雑,ふくざつ,complex; complicated,adjective,n1
復興,ふっこう,revival; reconstruction; restoration,noun,n1
複数,ふくすう,plural; multiple,noun,n1
腐敗,ふはい,decay; decomposition; corruption,noun,n1
符号,ふごう,sign; symbol; code,noun,n1
普遍,ふへん,universal; general; ubiquitous,adjective,n1
不明,ふめい,unknown; unclear; obscure,adjective,n1
不利,ふり,disadvantage; handicap,noun,n1
