word,furigana,translation,description,example,example_translation,category,level
〜が,,but; however,A conjunction used to connect two contrasting clauses.,このレストランは高いですが、おいしいです。,"This restaurant is expensive, but it's delicious.",particle,n4
〜がする,,to smell; to feel; to hear,"Indicates a sensory perception that is noticed by the speaker, often involuntarily.",変な匂いがします。,There's a strange smell.,expression,n4
〜かどうか,,whether or not,Used to embed a yes/no question into a larger sentence to express uncertainty.,彼が来るかどうか分かりません。,I don't know whether or not he'll come.,phrase,n4
〜から,,because; since,A conjunction used to state a reason or cause. The reason precedes から.,疲れましたから、休みます。,"Because I am tired, I will rest.",particle,n4
〜くする、〜にする,,"to make something (adjective/noun)","Changes the state of an object. Use 〜くする for i-adjectives and 〜にする for na-adjectives and nouns.",部屋をきれいにしてください。,Please make the room clean.,phrase,n4
〜くなる、〜になる,,"to become (adjective/noun)","Indicates a change of state. Use 〜くなる for i-adjectives and 〜になる for na-adjectives and nouns.",日本語が上手になりました。,My Japanese has become good.,phrase,n4
〜ことがある,,there are times when; sometimes,Indicates that something happens occasionally. (Verb plain form + ことがある).,時々、朝ご飯を食べないことがあります。,Sometimes I don't eat breakfast.,phrase,n4
〜ことができる,,can; to be able to,A formal way to express ability or possibility. (Verb dictionary form + ことができる).,漢字を読むことができます。,I can read kanji.,phrase,n4
〜ことにする,,to decide to,Expresses a decision made by the speaker's own will. (Verb dictionary form + ことにする).,明日からダイエットすることにしました。,I decided to start a diet from tomorrow.,phrase,n4
〜ことになる,,it has been decided that,Indicates a decision made by others or a situation that has been arranged. (Verb dictionary form + ことになる).,来月、大阪へ出張することになりました。,It has been decided that I will go on a business trip to Osaka next month.,phrase,n4
〜し〜し,,and; what's more (listing reasons),Used to list multiple reasons or characteristics, often to support a conclusion.,このアパートは駅に近いし、家賃も安いし、とてもいいです。,"This apartment is close to the station, and the rent is cheap, so it's very good.",particle,n4
〜すぎる,,too much; to over-,"Indicates excess. Attaches to the verb stem (e.g., 食べすぎる) or adjective stem (e.g., 高すぎる).",食べすぎました。,I ate too much.,suffix,n4
〜そうです (Appearance),,"it looks like; seems",Expresses a judgment based on visual evidence. Attaches to the verb stem (e.g., 降りそう) or adjective stem (e.g., 美味しそう).,雨が降りそうです。,It looks like it will rain.,phrase,n4
〜そうです (Hearsay),,"I heard that; they say",Used to convey information heard from another source. Attaches to the plain form of verbs, nouns, and adjectives.,天気予報によると、明日は晴れるそうです。,According to the weather forecast, I heard it will be sunny tomorrow.,phrase,n4
〜たがる,,wants to (third person),Used to describe the apparent desire or wish of a third person. (Verb stem + たがる).,息子は新しいゲームをたがっています。,My son wants a new game.,suffix,n4
〜だけ,,only; just; as much as,Indicates limitation or extent.,好きなだけ食べてください。,Please eat as much as you like.,particle,n4
〜だけしか〜ない,,only (with emphasis),A strong way to express limitation, always used with a negative verb ending.,日本語だけしか話せません。,I can only speak Japanese.,phrase,n4
〜だけでなく,,not only… but also,Used to add another piece of information.,彼は日本語だけでなく、英語も話せます。,He can speak not only Japanese but also English.,phrase,n4
〜たことがある,,have done something before,Expresses past experience. (Verb ta-form + ことがある).,日本に行ったことがあります。,I have been to Japan before.,phrase,n4
〜ために,,in order to; for the purpose of,Expresses purpose or reason. (Verb dictionary form / Noun の + ために).,日本語を勉強するために、日本へ行きます。,I will go to Japan in order to study Japanese.,phrase,n4
〜たら,,if; when,A conditional form used for a wide range of situations, including hypotheticals. The action in the たら clause must complete first.,雨が降ったら、出かけません。,"If it rains, I won't go out.",particle,n4
〜たり〜たりする,,do things like A and B,Used to list example actions without being exhaustive. (Verb ta-form + り).,週末は映画を見たり、本を読んだりします。,"On weekends, I do things like watch movies and read books.",phrase,n4
〜だろう,,probably,"Plain form of でしょう, used to express conjecture or probability.",彼は来ないだろう。,He probably won't come.,phrase,n4
〜つもりです,,I intend to; I plan to,Expresses a firm intention or plan. (Verb dictionary form + つもりです).,大学院へ行くつもりです。,I intend to go to graduate school.,phrase,n4
〜てあげる,,to do for someone (outward),To do a favor for someone else (of equal or lower status).,母にプレゼントを買ってあげました。,I bought a present for my mom.,phrase,n4
〜てある,,has been done (in preparation),Indicates a state that exists as the result of a deliberate, preparatory action.,窓が開けてあります。,The window has been left open (intentionally).,phrase,n4
〜ていく,,to go on doing; to continue,Indicates an action that will continue from the present into the future.,日本語の勉強を続けていきます。,I will continue studying Japanese.,phrase,n4
〜ている,,be doing; in a state of,Indicates a progressive action or a continuous state.,彼は今テレビを見ています。,He is watching TV now.,phrase,n4
〜ておく,,to do in advance,To do something beforehand in preparation for the future.,友達が来るので、掃除しておきます。,"Since my friend is coming, I'll clean up in advance.",phrase,n4
〜てくる,,to come to; to start to,Indicates an action that began in the past and continues to the present, or movement towards the speaker.,雨が降ってきました。,It has started to rain.,phrase,n4
〜てくれる,,to do for me (inward),Indicates that someone does a favor for the speaker or someone in their in-group.,友達が手伝ってくれました。,My friend helped me.,phrase,n4
〜てしまう,,to do completely; to do accidentally,Expresses the completion of an action, or that an action was done accidentally or with regret.,宿題を忘れてしまいました。,I completely forgot my homework (with regret).,phrase,n4
〜でしょう,,probably; right?,Polite form used to express conjecture or to seek confirmation.,明日は雨が降るでしょう。,It will probably rain tomorrow.,phrase,n4
〜てはいけない,,must not; not allowed,Used to prohibit an action.,ここで写真を撮ってはいけません。,You must not take pictures here.,phrase,n4
〜てみる,,to try to do,To try doing something to see what it's like.,日本料理を食べてみたいです。,I want to try eating Japanese food.,phrase,n4
〜ても,,even if,Indicates a concession or a hypothetical contrary condition.,雨が降っても、行きます。,I will go even if it rains.,particle,n4
〜てもいい,,is allowed to; may,Used to give or ask for permission.,電話を使ってもいいですか。,May I use the phone?,phrase,n4
〜てもかまわない,,I don't mind if,A way to grant permission, implying it will not be a bother.,窓を開けてもかまいません。,I don't mind if you open the window.,phrase,n4
〜てもらう,,to get someone to do something,To receive a favor from someone else.,先生に説明してもらいました。,I had the teacher explain it to me.,phrase,n4
〜ても始まらない,〜てもはじまらない,it's no use even if,Expresses that an action is futile or pointless.,後悔しても始まりません。,There's no use regretting it.,phrase,n4
〜てよかった,,I'm glad that...,Expresses relief or happiness about something that happened.,傘を持ってきてよかったです。,I'm glad I brought an umbrella.,phrase,n4
〜て欲しい,〜てほしい,I want (someone) to do,Expresses the speaker's desire for someone else to perform an action.,手伝ってほしいです。,I want you to help me.,phrase,n4
〜と,,if; when (natural consequence),A conditional used for natural, inevitable, or habitual results.,春になると、花が咲きます。,"When spring comes, flowers bloom.",particle,n4
〜とき,,when; at the time of,Indicates the time when something happens.,子供のとき、ここに住んでいました。,"When I was a child, I lived here.",noun,n4
〜ところです,,about to; in the middle of; just did,Expresses the immediate stage of an action (before, during, or after).,今から食べるところです。,I'm just about to eat now.,phrase,n4
〜と思う,〜とおもう,I think that...,Used to express the speaker's opinion or thoughts.,彼は来ないと思います。,I think he won't come.,phrase,n4
〜ながら,,while doing,Indicates that two actions are performed simultaneously by the same person. (Verb stem + ながら).,音楽を聞きながら、勉強します。,I study while listening to music.,particle,n4
〜なくてはいけない,,must; have to,Expresses obligation or necessity. Interchangeable with なければいけない / ならない.,勉強しなくてはいけません。,I must study.,phrase,n4
〜なくてはならない,,must; have to (formal),A slightly more formal way to express obligation or necessity.,明日までに終わらなくてはなりません。,It must be finished by tomorrow.,phrase,n4
〜なくてもいい,,don't have to,Expresses a lack of obligation or necessity.,明日は学校に行かなくてもいいです。,You don't have to go to school tomorrow.,phrase,n4
〜なければいけない,,have to; must,Expresses obligation or necessity.,薬を飲まなければいけません。,I have to take my medicine.,phrase,n4
〜なければならない,,have to; must,Expresses strong obligation or necessity.,もっと勉強しなければなりません。,I have to study more.,phrase,n4
〜なら,,if (offering a suggestion),A conditional used to give a suggestion or limitation based on what the other person said.,あなたが行くなら、私も一緒に行きます。,"If you are going (since we are on that topic), I will go with you too.",particle,n4
〜にくい,,difficult to,Attached to a verb stem to indicate that an action is difficult to perform.,この靴は歩きにくいです。,These shoes are hard to walk in.,suffix,n4
〜にする,,to decide on,Used to express a choice made at the time of speaking.,コーヒーにします。,I'll have the coffee.,phrase,n4
〜になる,,to become,Indicates a natural change or transformation.,先生になります。,I will become a teacher.,phrase,n4
〜ので,,since; because (stating a reason),A conjunction used to state a reason or cause. Softer and more polite than から.,安いので、買いました。,"Since it was cheap, I bought it.",particle,n4
のに,,although; in spite of,Used to connect two clauses, where the second is an unexpected or contrary result.,雨が降っているのに、出かけます。,"Even though it's raining, I will go out.",particle,n4
〜ば,,if (conditional),A conditional form, often used for general truths or hypothetical situations.,安ければ、買います。,"If it's cheap, I'll buy it.",particle,n4
〜ば〜ほど,,the more… the more,Indicates that as one thing increases, another thing increases proportionally.,練習すればするほど、上手になります。,"The more you practice, the better you get.",phrase,n4
〜ばかり,,nothing but; only,Indicates that someone does only one thing, or that only one type of thing exists. Often has a negative nuance.,甘い物ばかり食べています。,I eat nothing but sweets.,particle,n4
〜ばかりです,,to keep on; to continue to,Expresses a continuing trend, often a negative one.,物価が上がるばかりです。,Prices just keep rising.,phrase,n4
〜ばかりに,,simply because (negative result),Indicates that a single cause led to an unfortunate result.,病気だったばかりに、試験を受けられませんでした。,"Simply because I was sick, I couldn't take the exam.",phrase,n4
〜ほうがいい,,had better; it is better to,Used to give advice. (Verb ta-form for positive advice, Verb nai-form for negative advice).,薬を飲んだほうがいいですよ。,You had better take some medicine.,phrase,n4
〜みたい,,like; as if; seems,An informal way to express resemblance or make a guess.,彼は学生みたいです。,He seems like a student.,phrase,n4
や〜など,,things like A and B,Used to list non-exhaustive examples.,机の上に本やノートなどがあります。,There are things like books and notebooks on the desk.,particle,n4
〜やすい,,easy to,Attached to a verb stem to indicate that an action is easy to perform.,このペンは書きやすいです。,This pen is easy to write with.,suffix,n4
〜よう、〜ましょう,,let's; shall we (volitional),Used to express intention (volitional form) or make a suggestion. よう is the plain form, ましょう is the polite form.,食べよう。/ 食べましょう。,Let's eat.,expression,n4
〜ようがない,,there's no way to,Indicates that there is no means or way to perform an action. (Verb stem + ようがない).,そんなことは知りようがありません。,There's no way I could know that.,phrase,n4
〜ようです,,it seems that,Expresses a conjecture based on sensory evidence or information. More formal than みたい.,彼は疲れているようです。,He seems tired.,phrase,n4
〜ようとする,,to try to; to be about to,Expresses an attempt to do something.,寝ようとしましたが、眠れませんでした。,I tried to sleep but couldn't.,phrase,n4
〜ようと思う,〜ようとおもう,I think I'll...; am planning to,Expresses an intention or plan formed by the speaker. (Volitional form + と思う).,来年、日本へ留学しようと思います。,I'm thinking of studying abroad in Japan next year.,phrase,n4
〜ようにする,,to make an effort to,Indicates a conscious effort to make something a habit.,毎日運動するようにしています。,I make an effort to exercise every day.,phrase,n4
〜ようになっている,,it is designed/arranged so that,Indicates a function or system that is in place, often automatically.,このドアは自動で閉まるようになっています。,This door is designed to close automatically.,phrase,n4
〜ようになる,,to come to be able to; to reach the point where,Expresses a change in ability or state over time.,日本語が話せるようになりました。,I've reached the point where I can speak Japanese.,phrase,n4
〜らしい,,it seems; I hear; typical of,Expresses a judgment based on hearsay or evidence. Can also mean something is typical of a category.,彼は先生らしいです。,I hear he is a teacher. / He acts like a teacher.,suffix,n4
〜以上,いじょう,since; now that; more than,Indicates a strong reason or condition for an obligation. (Plain form + 以上).,約束した以上、守らなければなりません。,"Now that you've promised, you must keep it.",expression,n4
〜以下,いか,less than or equal to; below,Expresses a limit and everything at or below it.,10歳以下の子供は無料です。,Children 10 years old and under are free of charge.,suffix,n4
〜以外,いがい,except for; other than,Indicates exclusion from a group or condition.,彼以外は全員来ました。,Everyone except for him came.,suffix,n4
〜始める,〜はじめる,to begin to,Indicates the start of an action. (Verb stem + 始める).,彼は走り始めました。,He started to run.,verb,n4
〜方,〜かた,way of doing; how to,Indicates the method of doing something. (Verb stem + 方).,この漢字の書き方を教えてください。,Please teach me how to write this kanji.,suffix,n4
〜欲しい,〜ほしい,to want (something),Indicates desire for a tangible or intangible object.,新しい車が欲しいです。,I want a new car.,adjective,n4
〜的（な）,〜てき（な）,-like; -al; -ic,A suffix that turns a noun into a na-adjective.,科学的な証明,a scientific proof,suffix,n4
〜終わる,〜おわる,to finish doing,Indicates the completion of an action. (Verb stem + 終わる).,宿題をやり終わりました。,I finished doing my homework.,verb,n4
間に,あいだに,while; during (an event happens),Indicates that a specific event occurs within the time frame of another ongoing action.,勉強している間に、雨が降りました。,It rained while I was studying.,particle,n4
〜（の）ような,,like; such as,Used to compare something to a noun, like an adjective.,彼女は天使のような人です。,She is a person like an angel.,phrase,n4
〜（の）ように,,like; as if,Used to describe an action that is done in a similar way to something else.,鳥のように飛べたらいいのに。,I wish I could fly like a bird.,phrase,n4
〜かもしれません,,might; may,Expresses a possibility. More polite than かもしれない.,明日は雨が降るかもしれません。,It might rain tomorrow.,phrase,n4
しか〜ない,,only; nothing but,Emphasizes a small quantity or a specific action, always used with a negative verb.,百円しかありません。,I only have 100 yen.,particle,n4
〜てから,,after doing,Indicates a sequence of actions; B happens after A is completed.,宿題をしてから、テレビを見ます。,I will watch TV after doing my homework.,particle,n4
